T,Density,Aux_P1,Electric_P1,,T,Density,Aux_P2,Electric_P2,,T,Density,Aux_P3,Electric_P3,,,,,,,,,,,,T,Aux P,Density_11,Electric_P11,,T,Aux P,Density_22,Electric_P22
9.68,0.6,0,334,,9.68,1.09,0,1660,,9.68,1.19,0,2014,,,,,,,,,,,,9.68,0,0.1,0,,9.68,50,0.1,0
,,1,349,,,,1,1662,,,,1,2016,,,,,,,,,,,,,,0.2,0,,,,0.2,23
,,2,360,,,,2,1664,,,,2,2018,,,,,,,,,,,,,,0.3,0,,,,0.3,95
,,3,369,,,,3,1666,,,,3,2020,,,,,,,,,,,,,,0.4,0,,,,0.4,200
influenta aux p ,,4,377,,,,4,1668,,,,4,2022,,,,,,,,,,,,,,0.5,0,,,,0.5,334
,,5,384,,,,5,1670,,,,5,2023,,,,,,,,,,,,,,0.6,334,,,,0.6,496
,,6,390,,,,6,1671,,,,6,2025,,,,,,,,,,,,,,0.69,556,,,,0.69,667
,,7,396,,,,7,1673,,,,7,2026,,,,,,,,,,,,,,0.79,791,,,,0.79,886
,,8,401,,,,8,1675,,,,8,2027,,,,,,,,,,,,,,0.89,1050,,,,0.89,1137
,,9,406,,,,9,1677,,,,9,2030,,,,,,,,,,,,,,0.99,1339,,,,0.99,1421
,,10,411,,,,10,1679,,,,10,2032,,,,,,,,,,,,,,1.09,1660,,,,1.09,1738
,,11,415,,,,11,1680,,,,11,2033,,,,,,,,,,,,,,,,,,,,
,,12,419,,,,12,1682,,,,12,2035,,,,,,,,,,,,,,,,,,,,
,,13,423,,,,13,1684,,,,13,2037,,,,,,,,,,,,,,,,,,,,
,,14,426,,,,14,1685,,,,14,2038,,,,,,,,,,ș,,,,,,,,,,
,,15,430,,,,15,1687,,,,15,2040,,,,,,,,,,,,,,,,,,,,
,,16,433,,,,16,1689,,,,16,2041,,,,,,,,,,,,,,,,,,,,
,,17,436,,,,17,1691,,,,17,2043,,,,,,,,,,,,,,,,,,,,
,,18,439,,,,18,1692,,,,18,2044,,,,,,,,,,,,,,,,,,,,
,,19,442,,,,19,1694,,,,19,2046,,,,,,,,,,,,,,,,,,,,
,,20,444,,,,20,1695,,,,20,2048,,,,,,,,,,,,,,,,,,,,
,,21,447,,,,21,1697,,,,21,2049,,,,,,,,,,,,,,,,,,,,
,,22,450,,,,22,1699,,,,22,2051,,,,,,,,,,,,,,,,,,,,
,,23,452,,,,23,1700,,,,23,2052,,,,,,,,,,,,,,,,,,,,
,,24,454,,,,24,1702,,,,24,2054,,,,,,,,,,,,,,,,,,,,
,,25,457,,,,25,1703,,,,25,2055,,,,,,,,,,,,,,,,,,,,
,,26,459,,,,26,1705,,,,26,2056,,,,,,,,,,,,,,,,,,,,
,,27,461,,,,27,1706,,,,27,2058,,,,,,,,,,,,,,,,,,,,
,,28,463,,,,28,1708,,,,28,2059,,,,,,,,,,,,,,,,,,,,
,,29,465,,,,29,1709,,,,29,2061,,,,,,,,,,,,,,,,,,,,
,,30,467,,,,30,1711,,,,30,2062,,,,,,,,,,,,,,,,,,,,
,,31,469,,,,31,1712,,,,31,2064,,,,,,,,,,,,,,,,,,,,
,,32,470,,,,32,1714,,,,32,2065,,,,,,,,,,,,,,,,,,,,
,,33,472,,,,33,1715,,,,33,2066,,,,,,,,,,,,,,,,,,,,
,,34,474,,,,34,1716,,,,34,2068,,,,,,,,,,,,,,,,,,,,
,,35,476,,,,35,1718,,,,35,2069,,,,,,,,,,,,,,,,,,,,
,,36,477,,,,36,1719,,,,36,2071,,,,,,,,,,,,,,,,,,,,
,,37,479,,,,37,1721,,,,37,2072,,,,,,,,,,,,,,,,,,,,
,,38,480,,,,38,1722,,,,38,2073,,,,,,,,,,,,,,,,,,,,
,,39,482,,,,39,1723,,,,39,2075,,,,,,,,,,,,,,,,,,,,
,,40,483,,,,40,1725,,,,40,2076,,,,,,,,,,,,,,,,,,,,
,,41,485,,,,41,1726,,,,41,2077,,,,,,,,,,,,,,,,,,,,
,,42,486,,,,42,1727,,,,,,,,,,,,,,,,,,,,,,,,,
,,43,487,,,,43,1729,,,,,,,,,,,,,,,,,,,,,,,,,
,,44,489,,,,44,1730,,,,,,,,,,,,,,,,,,,,,,,,,
,,45,490,,,,45,1731,,,,,,,,,,,,,,,,,,,,,,,,,
,,46,491,,,,46,1733,,,,,,,,,,,,,,,,,,,,,,,,,
,,47,492,,,,47,1734,,,,,,,,,,,,,,,,,,,,,,,,,
,,48,494,,,,48,1735,,,,,,,,,,,,,,,,,,,,,,,,,
,,49,495,,,,49,1736,,,,,,,,,,,,,,,,,,,,,,,,,
,,50,496,,,,50,1738,,,,,,,,,,,,,,,,,,,,,,,,,
